kabupaten,tanggal,hari,judul,link,sumber,generated_at
Sanggau,2026-07-04,Sabtu,Lima Warga Sanggau Meninggal Dunia Akibat DBD - PontianakPost,https://news.google.com/rss/articles/CBMinwFBVV95cUxOZk85NVZXUUZXRG1WaEkwMTNTOWZNZVdVYzhZOGJHLUM5NXZyZnhtbjlZYXJPNW1lc3V6V2p2OEpfV0l5S0ZlYlZrRGU2QXZlNzJyVmlwQ1c4QWZ4U09jZ0FxNEptbEZSZHg0TWg2YXdVbF90WF9UeGpScDVOUVQzUnhWWUI5dGVHSTMwbjdyTnYzN1FxWWZ1Sll5Tk9KQWPSAaQBQVVfeXFMTmdHb0tzWWZGd29IYlFWbVVjZmVhUWRRaDBJYWpnOW9zN052X1ZsZDdQNk55WnlhRko4Q3ZPdHFXeV9ZTTJEaXhrRTU1a2hhdVRNWHJKc2gtRURlWmdrU2E2T05feElRcmJFSUdJaHg0WVdkbjgyX21DVDNIN09xVzQxRWNPNjBPcGE0czVWNDNVYU9yV2VMMFg4bnpGR2w1Tnd5MnQ?oc=5,PontianakPost,2026-07-07 18:55
Sanggau,2026-07-05,Minggu,DPRD Sanggau Dorong Budidaya Durian Jadi Penggerak Ekonomi - RRI.co.id,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPN2V2TDM0aUV2bXNJRmNtYTYtT05SbmxOOVZodTRFeDcyQ3ZYUUU5TlhQaXZsNUtRa1ZjSTVWMEQwZnRwX2tfSnNKem0yNzU2UktiZm5QLXFJd2lpN3lSaUJYM015NWlaSE1VMHZ6c2VVTVpUTEhLeFdycVE2TDQtWGxHRFQ1Z3B4MGV0OHBndjF3TGF0ZmNKd0xzaFFObWNoTjNSWW9QLUI2UWs?oc=5,RRI.co.id,2026-07-07 18:55
Kapuas Hulu,2026-07-07,Selasa,"Kasus DBD di Kapuas Hulu Capai 286 Orang, Putussibau Utara Tertinggi dan Satu Warga Meninggal - PontianakPost",https://news.google.com/rss/articles/CBMi6AFBVV95cUxPYS1XaVo4YnNkVUN2S1pORXJ5Q2hDUEpWM1VCcXd4QkJXeURyS0hXSVgxWmd2bDVhT0RWcTBnMjdYTFhyNjQxamIyY09iVnRHTjZZd3B6aDQ2ajk3dkl4Sm15ajhPQ3NoZXB1YmRTdVh2dEJKbXZKOFNEdGZHQkZCS0ozNkJBUE1aa0tkUEJhc2lqTjZJX21yb01qLTN3aDlEWktMNjktcVA1YnpuSTIzMjBsMENGdjItUEFScC1XQzZCdXBEVFVDcXhtOWZUM3RYY1dneVFlX1JSUUE0ellHT05QVmhtRnhT0gHoAUFVX3lxTE9hLVdpWjhic2RVQ3ZLWk5FcnlDaENQSlYzVUJxd3hCQld5RHJLSFdJWDFaZ3ZsNWFPRFZxMGcyN1hMWHI2NDFqYjJjT2JWdEdONll3cHpoNDZqOTd2SXhKbXlqOE9Dc2hlcHViZFN1WHZ0Qkptdko4U0R0ZkdCRkJLSjM2QkFQTVprS2RQQmFzaWpONklfbXJvTWotM3doOURaS0w2OS1xUDViem5JMjMyMGwwQ0Z2Mi1QQVJwLVdDNkJ1cERUVUNxeG05ZlQzdFhjV2d5UWVfUlJRQTR6WUdPTlBWaG1GeFM?oc=5,PontianakPost,2026-07-07 18:55
